,community
0,0
1,0
2,0
3,2
4,22
5,22
6,22
7,22
8,9
9,22
10,22
11,22
12,22
13,4
14,5
15,5
16,5
17,5
18,4
19,5
20,5
21,5
22,12
23,7
24,7
25,12
26,12
27,12
28,12
29,12
30,12
31,12
32,12
33,12
34,12
35,12
36,2
37,9
38,9
39,4
40,9
41,15
42,15
43,9
44,9
45,10
46,4
47,10
48,15
49,9
50,9
51,10
52,10
53,11
54,11
55,11
56,12
57,12
58,12
59,12
60,12
61,12
62,13
63,13
64,13
65,7
66,7
67,7
68,7
69,7
70,13
71,13
72,13
73,13
74,13
75,13
76,0
77,0
78,0
79,12
80,12
81,4
82,4
83,4
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,13
92,13
93,0
94,0
95,0
96,0
97,15
98,15
99,15
100,15
101,15
102,16
103,16
104,11
105,11
106,11
107,17
108,3
109,11
110,11
111,11
112,11
113,13
114,13
115,11
116,11
117,11
118,11
119,11
120,11
121,0
122,0
123,19
124,19
125,19
126,19
127,19
128,19
129,19
130,19
131,19
132,19
133,19
134,3
135,3
136,3
137,3
138,3
139,22
140,0
141,0
142,20
143,20
144,20
145,2
146,2
147,2
148,17
149,17
150,4
151,9
152,9
153,9
154,9
155,9
156,21
157,9
158,2
159,22
160,13
161,12
162,10
163,10
164,10
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,21
178,21
179,15
180,21
181,21
182,2
183,2
184,2
185,2
186,2
187,17
188,2
189,2
190,2
191,4
192,4
193,7
194,7
195,7
196,7
197,7
198,24
199,24
200,7
201,7
202,23
203,23
204,23
205,23
206,23
207,21
208,19
209,19
210,19
211,21
212,21
213,7
214,21
215,21
216,21
217,21
218,9
219,9
220,2
221,4
222,9
223,15
224,9
225,10
226,5
227,24
228,24
229,24
230,9
231,10
232,4
233,4
234,4
235,4
236,4
237,15
238,15
239,15
240,15
241,15
242,15
243,15
244,15
245,25
246,25
247,25
248,25
249,25
250,25
251,25
252,25
253,25
254,25
255,13
256,13
257,13
258,24
259,24
260,24
261,4
262,1
263,4
264,24
265,0
266,0
267,0
268,0
269,9
270,9
271,21
272,21
273,21
274,21
275,21
276,21
277,3
278,3
279,3
280,3
281,3
282,2
283,3
284,3
285,3
286,3
287,3
288,3
289,0
290,0
291,0
292,0
293,6
294,6
295,4
296,4
297,19
298,6
299,6
300,6
301,6
302,6
303,15
304,15
305,15
306,15
307,15
308,15
309,15
310,15
311,22
312,22
313,22
314,22
315,22
316,13
317,23
318,23
319,23
320,23
321,23
322,4
323,4
324,4
325,4
326,4
327,4
328,15
329,15
330,15
331,15
332,21
333,21
334,21
335,21
336,21
337,21
338,21
339,21
340,21
341,15
342,15
343,15
344,15
345,15
346,13
347,15
348,15
349,15
350,15
351,15
352,4
353,15
354,15
355,15
356,4
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,13
366,13
367,13
368,0
369,0
370,0
371,0
372,0
373,0
374,6
375,6
376,6
377,6
378,6
379,6
380,6
381,6
382,6
383,6
384,6
385,3
386,6
387,6
388,6
389,6
390,6
391,6
392,6
393,10
394,6
395,6
396,6
397,19
398,0
399,6
400,2
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,3
410,3
411,3
412,21
413,21
414,17
415,17
416,17
417,17
418,4
419,4
420,15
421,21
422,13
423,15
424,15
425,4
426,4
427,4
428,4
429,4
430,4
431,4
432,4
433,12
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,2
443,2
444,10
445,10
446,2
447,2
448,4
449,4
450,2
451,5
452,3
453,2
454,0
455,0
456,0
457,16
458,16
459,15
460,17
461,4
462,17
463,17
464,4
465,4
466,4
467,13
468,13
469,13
470,22
471,22
472,22
473,22
474,22
475,0
476,0
477,0
478,11
479,13
480,17
481,17
482,17
483,17
484,17
485,17
486,17
487,3
488,17
489,0
490,0
491,0
492,0
493,9
494,9
495,9
496,9
497,9
498,9
499,24
500,8
501,8
502,8
503,8
504,8
505,8
506,8
507,24
508,24
509,16
510,16
511,21
512,21
513,16
514,9
515,16
516,13
517,13
518,13
519,13
520,13
521,13
522,0
523,0
524,0
525,0
526,8
527,8
528,8
529,8
530,8
531,8
532,8
